parameter,delta,lambda,original.estimate,transformed.estimate
"[1]   CL (L/d)",0,2.83950617283951,1.39726,0.558311021834287
"[2,3] V1  (L)",0,1.45679012345679,4.70664,5.86899748711981
"V2",0,1.62962962962963,0.228756,-0.558183302881942
"Q",0,0.716049382716049,2.1274,1.00124968070857
"CLADA",0,2.98765432098765,5.78029,62.9227494066439
"V1ALB1",0,,-0.127136,-0.127136
"IIV CL",0,-0.172839506172839,0.607047,-0.521313304788032
"IIV V1",0,-0.172839506172839,0.375377,-1.06768102147825
"EPS(1), proportional",0,-2.51851851851852,0.289024,-8.64990364790635
